"Method","rep","n","p","tau_setting","mu_setting","RMSE_CATE","RMSE_ATE","Coverage","Interval_Length"
"BCF",10,500,5,"homogeneous","nonlinear",0.515322224990267,0.0850339736057526,0.988,0.341937844025288
"BCF",11,500,5,"homogeneous","nonlinear",0.585616730998936,0.0678457942216806,0.99,0.331982655908973
"BCF",12,500,5,"homogeneous","nonlinear",0.202990229466827,0.0434271428546298,1,0.441409962082517
"BCF",13,500,5,"homogeneous","nonlinear",0.0605498926788423,0.0185900230765039,1,0.346428276801657
"BCF",14,500,5,"homogeneous","nonlinear",0.0389241989102046,0.0154649791620982,1,0.301168938462052
"BCF",15,500,5,"homogeneous","nonlinear",0.147560637709101,0.0192750227322751,1,0.424991885304757
"BCF",16,500,5,"homogeneous","nonlinear",0.312425209606158,0.0806536378731852,0.998,0.453102282677726
"BCF",17,500,5,"homogeneous","nonlinear",0.117948857793584,0.014499887360969,1,0.334355190163659
"BCF",18,500,5,"homogeneous","nonlinear",0.0977472396470662,0.0460046385863278,1,0.353884998349016
"BCF",19,500,5,"homogeneous","nonlinear",0.473877064951747,0.0736377698641424,0.99,0.395399720791838
"BCF",20,500,5,"homogeneous","nonlinear",0.0240725900639959,0.000254474175182207,1,0.310655216444664
"BCF",1,500,5,"heterogeneous","nonlinear",0.241158174497901,0.0299320992172215,0.97,0.870805956255648
"BCF",2,500,5,"heterogeneous","nonlinear",0.285156500547955,0.0280053561788389,0.972,0.888843613892453
"BCF",3,500,5,"heterogeneous","nonlinear",0.464597616194305,0.0578333022227497,0.982,1.02620106792582
"BCF",4,500,5,"heterogeneous","nonlinear",0.441285564486007,0.0399960679728852,0.964,0.861459406852591
"BCF",5,500,5,"heterogeneous","nonlinear",0.205469878798375,0.0489895792667703,0.976,0.82353256559462
"BCF",6,500,5,"heterogeneous","nonlinear",0.282155765741183,0.00479463234842537,0.996,0.981194991540828
"BCF",7,500,5,"heterogeneous","nonlinear",0.238462037437639,0.0410779004414166,0.986,0.975654766995783
"BCF",8,500,5,"heterogeneous","nonlinear",0.93709365943668,0.157041199575831,0.948,1.03230070129243
"BCF",9,500,5,"heterogeneous","nonlinear",0.25466639464649,0.0274356413854786,0.996,0.926418697911855
"BCF",10,500,5,"heterogeneous","nonlinear",0.313697877994175,0.0321647371509874,0.964,0.9332353460608
"BCF",11,500,5,"heterogeneous","nonlinear",0.429976074412211,0.129616113665265,0.972,1.03302298728841
"BCF",12,500,5,"heterogeneous","nonlinear",0.218677790971496,0.0196724609073282,0.984,0.911987872826841
"BCF",13,500,5,"heterogeneous","nonlinear",0.266966395255325,0.0411141562977491,0.91,0.845274642110112
"BCF",14,500,5,"heterogeneous","nonlinear",0.354635047670118,0.0448838735066717,0.952,0.946877052789936
"BCF",15,500,5,"heterogeneous","nonlinear",0.263457950799523,0.0437395801531311,0.964,0.882189402853683
"BCF",16,500,5,"heterogeneous","nonlinear",0.319053798572577,0.0220749478475857,0.976,0.956649167679055
"BCF",17,500,5,"heterogeneous","nonlinear",0.381212509951789,0.0327527419612994,0.96,1.02848072745031
"BCF",18,500,5,"heterogeneous","nonlinear",0.275225596465927,0.0119426340759126,0.98,1.01375133316705
"BCF",19,500,5,"heterogeneous","nonlinear",0.718113628882563,0.0897606704559936,0.97,1.00410483336112
"BCF",20,500,5,"heterogeneous","nonlinear",0.213621304091803,0.000407672514707302,0.97,0.805854863640015
