Model,rmse,interval_length,coverage,mu_type,effect_type,sample_size
BCF,0.102049409428359,0.972938692461393,0.946,linear,heterogeneous,500
BCF,0.0350590674815519,0.81434605817302,0.968,linear,heterogeneous,500
BCF,0.0223974293384628,0.834690886970229,0.96,linear,heterogeneous,500
BCF,0.109746916078119,0.899723037996842,0.936,linear,heterogeneous,500
BCF,0.0649872360824661,0.739779069523059,0.958,linear,heterogeneous,500
BCF,0.0199165068833211,0.853382057437732,0.97,linear,heterogeneous,500
BCF,0.0506906294465721,0.88595521862589,0.976,linear,heterogeneous,500
BCF,0.0700027201069493,0.780456229335486,0.946,linear,heterogeneous,500
BCF,0.0076842138802226,0.874737569869797,0.984,linear,heterogeneous,500
BCF,0.0311955675769753,0.725859797981473,0.974,linear,heterogeneous,500
BCF,0.0438621785335176,0.774001759321384,0.974,linear,heterogeneous,500
BCF,0.0408019925056111,0.847486651617139,0.962,linear,heterogeneous,500
BCF,0.050779714803362,0.717645969292788,0.972,linear,heterogeneous,500
BCF,0.112215201103979,0.88204836835266,0.938,linear,heterogeneous,500
BCF,0.0092672454898301,0.840360581075066,0.966,linear,heterogeneous,500
BCF,0.0210015037399485,0.367339900682036,1.0,nonlinear,homogeneous,500
BCF,0.0124683005355641,0.313312940800724,1.0,nonlinear,homogeneous,500
BCF,0.0834625525986237,0.432004359376418,1.0,nonlinear,homogeneous,500
BCF,0.0001228494090166,0.346811745279348,1.0,nonlinear,homogeneous,500
BCF,0.0455932488293871,0.361119626206442,1.0,nonlinear,homogeneous,500
BCF,0.0408878375853936,0.414137761115429,1.0,nonlinear,homogeneous,500
BCF,0.0374987761718528,0.365982731485637,1.0,nonlinear,homogeneous,500
BCF,0.0411131672911407,0.315942346496226,1.0,nonlinear,homogeneous,500
BCF,0.0303134268061758,0.367174463752057,0.996,nonlinear,homogeneous,500
BCF,0.0850339736057526,0.341937844025288,0.988,nonlinear,homogeneous,500
BCF,0.0678457942216806,0.331982655908973,0.99,nonlinear,homogeneous,500
BCF,0.0434271428546298,0.441409962082517,1.0,nonlinear,homogeneous,500
BCF,0.0185900230765039,0.346428276801657,1.0,nonlinear,homogeneous,500
BCF,0.0154649791620982,0.301168938462052,1.0,nonlinear,homogeneous,500
BCF,0.0192750227322751,0.424991885304757,1.0,nonlinear,homogeneous,500
BCF,0.0806536378731852,0.453102282677726,0.998,nonlinear,homogeneous,500
BCF,0.014499887360969,0.334355190163659,1.0,nonlinear,homogeneous,500
BCF,0.0460046385863278,0.353884998349016,1.0,nonlinear,homogeneous,500
BCF,0.0736377698641424,0.395399720791838,0.99,nonlinear,homogeneous,500
BCF,0.0002544741751822,0.310655216444664,1.0,nonlinear,homogeneous,500
BCF,0.0299320992172215,0.870805956255648,0.97,nonlinear,heterogeneous,500
BCF,0.0280053561788389,0.888843613892453,0.972,nonlinear,heterogeneous,500
BCF,0.0578333022227497,1.02620106792582,0.982,nonlinear,heterogeneous,500
BCF,0.0399960679728852,0.861459406852591,0.964,nonlinear,heterogeneous,500
BCF,0.0489895792667703,0.82353256559462,0.976,nonlinear,heterogeneous,500
BCF,0.0047946323484253,0.981194991540828,0.996,nonlinear,heterogeneous,500
BCF,0.0410779004414166,0.975654766995783,0.986,nonlinear,heterogeneous,500
BCF,0.157041199575831,1.03230070129243,0.948,nonlinear,heterogeneous,500
BCF,0.0274356413854786,0.926418697911855,0.996,nonlinear,heterogeneous,500
BCF,0.0321647371509874,0.9332353460608,0.964,nonlinear,heterogeneous,500
BCF,0.129616113665265,1.03302298728841,0.972,nonlinear,heterogeneous,500
BCF,0.0196724609073282,0.911987872826841,0.984,nonlinear,heterogeneous,500
BCF,0.0411141562977491,0.845274642110112,0.91,nonlinear,heterogeneous,500
BCF,0.0448838735066717,0.946877052789936,0.952,nonlinear,heterogeneous,500
BCF,0.0437395801531311,0.882189402853683,0.964,nonlinear,heterogeneous,500
BCF,0.0220749478475857,0.956649167679055,0.976,nonlinear,heterogeneous,500
BCF,0.0327527419612994,1.02848072745031,0.96,nonlinear,heterogeneous,500
BCF,0.0119426340759126,1.01375133316705,0.98,nonlinear,heterogeneous,500
BCF,0.0897606704559936,1.00410483336112,0.97,nonlinear,heterogeneous,500
BCF,0.0004076725147073,0.805854863640015,0.97,nonlinear,heterogeneous,500
Horseshoe,1.63056280443646,1.57451522611541,0.0,linear,heterogeneous,250
Horseshoe,2.10630946774722,1.34859674417903,0.0,linear,heterogeneous,250
Horseshoe,2.98836679648379,1.424514760704,0.0,linear,heterogeneous,250
Horseshoe,3.01973427471345,1.3339789612525,0.0,linear,heterogeneous,250
Horseshoe,2.19967168116308,1.18969835974231,0.0,linear,heterogeneous,250
Horseshoe,2.50135097627271,1.2967959965428,0.0,linear,heterogeneous,250
Horseshoe,2.77187742007072,1.22081851845101,0.0,linear,heterogeneous,250
Horseshoe,2.85088758928471,1.33129927888519,0.0,linear,heterogeneous,250
Horseshoe,2.56426070963671,1.3547533818098,0.0,linear,heterogeneous,250
Horseshoe,2.59908210362562,1.37226802956262,0.0,linear,heterogeneous,250
Horseshoe,2.68428755253881,1.24759200504868,0.0,linear,heterogeneous,250
Horseshoe,2.56876751102332,1.26362517122245,0.0,linear,heterogeneous,250
Horseshoe,2.47456391719368,1.37116807502693,0.0,linear,heterogeneous,250
Horseshoe,2.92034771635542,1.26651959595643,0.0,linear,heterogeneous,250
Horseshoe,2.45728768602788,1.36847891858812,0.0,linear,heterogeneous,250
Horseshoe,2.8363882237693,1.3708260345401,0.0,linear,heterogeneous,250
Horseshoe,2.99859795320463,1.40315608823673,0.0,linear,heterogeneous,250
Horseshoe,2.20793227575187,1.31738057164498,0.0,linear,heterogeneous,250
Horseshoe,2.61251054645572,1.33658835276368,0.0,linear,heterogeneous,250
Horseshoe,2.64027661649533,1.36788811525157,0.0,linear,heterogeneous,250
Horseshoe,3.04885599562404,1.32363558399383,0.0,linear,heterogeneous,250
Horseshoe,2.75510875658322,1.36301578602383,0.0,linear,heterogeneous,250
Horseshoe,2.70735878380361,1.33922099538555,0.0,linear,heterogeneous,250
Horseshoe,2.76332572051111,1.27203303165263,0.0,linear,heterogeneous,250
Horseshoe,2.99847980062593,1.29577202203722,0.0,linear,heterogeneous,250
Horseshoe,2.20839423400351,1.38620285099861,0.0,linear,heterogeneous,250
Horseshoe,2.82241604037282,1.32138563476451,0.0,linear,heterogeneous,250
Horseshoe,2.14782043955253,1.66660642345804,0.0,linear,heterogeneous,250
Horseshoe,2.70054435544147,1.36477379839556,0.0,linear,heterogeneous,250
Horseshoe,3.26288782434946,1.37994040627587,0.0,linear,heterogeneous,250
Horseshoe,2.46889008745159,1.35014394925761,0.0,linear,heterogeneous,250
Horseshoe,2.10859212621762,1.36642896384057,0.0,linear,heterogeneous,250
Horseshoe,2.30750878521345,1.34431688687194,0.0,linear,heterogeneous,250
Horseshoe,2.32352377677349,1.28523201928493,0.0,linear,heterogeneous,250
Horseshoe,2.78176805810737,1.39228214749823,0.0,linear,heterogeneous,250
Horseshoe,2.22821559372943,1.33818372913378,0.0,linear,heterogeneous,250
Horseshoe,2.66975211123724,1.35474492008346,0.0,linear,heterogeneous,250
Horseshoe,2.85706112174099,1.22980617942257,0.0,linear,heterogeneous,250
Horseshoe,2.88687366046899,1.42331114002169,0.0,linear,heterogeneous,250
Horseshoe,3.76885628167365,1.55609802828,0.0,linear,heterogeneous,250
Horseshoe,3.03523339434111,1.38539126084625,0.0,linear,heterogeneous,250
Horseshoe,2.75022815225451,1.36357539016139,0.0,linear,heterogeneous,250
Horseshoe,2.45419201403571,1.2543915758804,0.0,linear,heterogeneous,250
Horseshoe,3.04281010103094,1.48791438333014,0.0,linear,heterogeneous,250
Horseshoe,1.62774162785794,1.4512435258122,0.0,linear,heterogeneous,250
Horseshoe,2.70621248385415,1.25491957653158,0.0,linear,heterogeneous,250
Horseshoe,2.53012342036859,1.28870776041351,0.0,linear,heterogeneous,250
Horseshoe,2.4357522165409,1.31630144734651,0.0,linear,heterogeneous,250
Horseshoe,2.1697234022044,1.47972857308404,0.0,linear,heterogeneous,250
Horseshoe,3.31165591889477,1.43142882607462,0.0,linear,heterogeneous,250
Horseshoe,2.90690440350533,0.925090061041095,0.0,linear,heterogeneous,500
Horseshoe,2.31183879355616,0.888492526297679,0.0,linear,heterogeneous,500
Horseshoe,2.6711653218713,0.958992424433326,0.0,linear,heterogeneous,500
Horseshoe,2.92724503635275,1.01240066751674,0.0,linear,heterogeneous,500
Horseshoe,2.19194558590131,0.904249628564003,0.0,linear,heterogeneous,500
Horseshoe,2.65897750731539,1.02224490608819,0.0,linear,heterogeneous,500
Horseshoe,2.72785797759781,0.892058610644729,0.0,linear,heterogeneous,500
Horseshoe,2.26145112375783,0.961260805552695,0.0,linear,heterogeneous,500
Horseshoe,2.36184926586806,0.918867928690032,0.0,linear,heterogeneous,500
Horseshoe,2.68524589061123,0.883719511469638,0.0,linear,heterogeneous,500
Horseshoe,2.28609096540419,0.937925129809229,0.0,linear,heterogeneous,500
Horseshoe,2.72190627042079,0.964628222111461,0.0,linear,heterogeneous,500
Horseshoe,2.61065369732334,0.949794462579893,0.0,linear,heterogeneous,500
Horseshoe,3.29817377507929,0.917149093053742,0.0,linear,heterogeneous,500
Horseshoe,2.91787274705334,0.98807301896628,0.0,linear,heterogeneous,500
Horseshoe,2.38624306747484,0.898865262967803,0.0,linear,heterogeneous,500
Horseshoe,2.75925683403733,0.884792247489535,0.0,linear,heterogeneous,500
Horseshoe,2.41865864608531,0.921531612664982,0.0,linear,heterogeneous,500
Horseshoe,2.57344049380493,0.977014393261604,0.0,linear,heterogeneous,500
Horseshoe,2.38397018457896,0.960461137295631,0.0,linear,heterogeneous,500
Horseshoe,2.24123675611591,0.874980383936484,0.0,linear,heterogeneous,500
Horseshoe,2.86782614135276,0.934377200156703,0.0,linear,heterogeneous,500
Horseshoe,2.36357733493363,0.910591882232578,0.0,linear,heterogeneous,500
Horseshoe,3.10647764861915,0.941413816853991,0.0,linear,heterogeneous,500
Horseshoe,2.27561665413024,0.956676997114795,0.0,linear,heterogeneous,500
Horseshoe,2.36218052571851,0.916443193767115,0.0,linear,heterogeneous,500
Horseshoe,1.88954393171689,0.849539361177357,0.0,linear,heterogeneous,500
Horseshoe,2.85823909888294,1.0239345573923,0.0,linear,heterogeneous,500
Horseshoe,2.68987129717765,0.96793532795511,0.0,linear,heterogeneous,500
Horseshoe,2.98344444846034,1.03432592979905,0.0,linear,heterogeneous,500
Horseshoe,2.27968217637124,0.896939039977498,0.0,linear,heterogeneous,500
Horseshoe,2.56157393039246,0.956316060803717,0.0,linear,heterogeneous,500
Horseshoe,2.52737408141212,0.978965590151573,0.0,linear,heterogeneous,500
Horseshoe,2.57212190265363,0.963619293465229,0.0,linear,heterogeneous,500
Horseshoe,2.67108106335474,0.933902705824299,0.0,linear,heterogeneous,500
Horseshoe,2.61033485181045,0.966016081878943,0.0,linear,heterogeneous,500
Horseshoe,2.41796095594844,0.90656258087987,0.0,linear,heterogeneous,500
Horseshoe,2.02238884927036,1.00801923328905,0.0,linear,heterogeneous,500
Horseshoe,2.84887906980816,0.902496157346251,0.0,linear,heterogeneous,500
Horseshoe,2.54600564548876,0.944243642471099,0.0,linear,heterogeneous,500
Horseshoe,2.44075297470306,0.969026667723317,0.0,linear,heterogeneous,500
Horseshoe,2.66838933099588,0.944758492061477,0.0,linear,heterogeneous,500
Horseshoe,2.68691287553047,0.905452042121762,0.0,linear,heterogeneous,500
Horseshoe,2.40130518913168,0.926209711879842,0.0,linear,heterogeneous,500
Horseshoe,2.62839450434798,0.947143719893682,0.0,linear,heterogeneous,500
Horseshoe,2.62779895285434,0.997896564662299,0.0,linear,heterogeneous,500
Horseshoe,2.60131086090249,0.86406854238214,0.0,linear,heterogeneous,500
Horseshoe,2.67178468968542,0.964484501944663,0.0,linear,heterogeneous,500
Horseshoe,3.16414557471012,0.839610482373759,0.0,linear,heterogeneous,500
Horseshoe,2.72620975529195,0.945345352652676,0.0,linear,heterogeneous,500
Horseshoe,1.86511562037178,1.63154567829687,0.0,linear,homogeneous,250
Horseshoe,2.40612625065511,1.49535942847309,0.0,linear,homogeneous,250
Horseshoe,3.3321352071468,1.59407257814974,0.0,linear,homogeneous,250
Horseshoe,3.2094146751043,1.53835087412316,0.0,linear,homogeneous,250
Horseshoe,2.28712409462414,1.38938718731577,0.0,linear,homogeneous,250
Horseshoe,2.70730436370614,1.5193388320787,0.0,linear,homogeneous,250
Horseshoe,3.06297181155792,1.37740376701745,0.0,linear,homogeneous,250
Horseshoe,3.0605762602264,1.38438389385732,0.0,linear,homogeneous,250
Horseshoe,2.6565892929807,1.54441414979329,0.0,linear,homogeneous,250
Horseshoe,2.81883479675251,1.4854012502217,0.0,linear,homogeneous,250
Horseshoe,2.77028522181052,1.36978904959895,0.0,linear,homogeneous,250
Horseshoe,2.96190278276288,1.38226044269732,0.0,linear,homogeneous,250
Horseshoe,2.69031623406081,1.54701636046653,0.0,linear,homogeneous,250
Horseshoe,3.06924634525031,1.45667853812652,0.0,linear,homogeneous,250
Horseshoe,2.7175954198417,1.49621754302024,0.0,linear,homogeneous,250
Horseshoe,2.95465844342934,1.53153432896471,0.0,linear,homogeneous,250
Horseshoe,3.17839797769698,1.57832419483833,0.0,linear,homogeneous,250
Horseshoe,2.52174927769707,1.4610286964808,0.0,linear,homogeneous,250
Horseshoe,2.65757945586846,1.56194980413745,0.0,linear,homogeneous,250
Horseshoe,2.89208116366243,1.52146873733562,0.0,linear,homogeneous,250
Horseshoe,3.34858844521319,1.43455335697951,0.0,linear,homogeneous,250
Horseshoe,2.82475270180593,1.48785162048348,0.0,linear,homogeneous,250
Horseshoe,2.8226068288425,1.48344293693291,0.0,linear,homogeneous,250
Horseshoe,2.80147343201975,1.43803459994659,0.0,linear,homogeneous,250
Horseshoe,3.24348616786135,1.4255758122253,0.0,linear,homogeneous,250
Horseshoe,2.70898846764151,1.49314954440299,0.0,linear,homogeneous,250
Horseshoe,3.14988665601366,1.50435617761515,0.0,linear,homogeneous,250
Horseshoe,2.381445722354,1.83780474074634,0.0,linear,homogeneous,250
Horseshoe,2.78304995128339,1.5229080596532,0.0,linear,homogeneous,250
Horseshoe,3.59942544962518,1.51143370780206,0.0,linear,homogeneous,250
Horseshoe,2.69043602284812,1.51004136978616,0.0,linear,homogeneous,250
Horseshoe,2.46448061197649,1.50034179298763,0.0,linear,homogeneous,250
Horseshoe,2.49817868265987,1.47219503708342,0.0,linear,homogeneous,250
Horseshoe,2.66774492159206,1.44712126399183,0.0,linear,homogeneous,250
Horseshoe,2.99159405803985,1.56968876603423,0.0,linear,homogeneous,250
Horseshoe,2.48157676681575,1.42263907124188,0.0,linear,homogeneous,250
Horseshoe,2.87524313110565,1.52360354572623,0.0,linear,homogeneous,250
Horseshoe,2.91714938218867,1.40301548191626,0.0,linear,homogeneous,250
Horseshoe,3.36783690443747,1.58706952785843,0.0,linear,homogeneous,250
Horseshoe,4.37706723319574,1.71600001691694,0.0,linear,homogeneous,250
Horseshoe,3.36409356981553,1.50999855907679,0.0,linear,homogeneous,250
Horseshoe,2.91891503015603,1.56480035138132,0.0,linear,homogeneous,250
Horseshoe,2.71678291530596,1.38403113926991,0.0,linear,homogeneous,250
Horseshoe,3.51143174445143,1.62920593616247,0.0,linear,homogeneous,250
Horseshoe,1.72263706970783,1.54731004104058,0.0,linear,homogeneous,250
Horseshoe,2.84173213720488,1.44253761167951,0.0,linear,homogeneous,250
Horseshoe,2.69904529041989,1.48146992486519,0.0,linear,homogeneous,250
Horseshoe,2.81275772202397,1.47109810702186,0.0,linear,homogeneous,250
Horseshoe,2.56409750455937,1.60015290840537,0.0,linear,homogeneous,250
Horseshoe,3.68666504686642,1.55573943473827,0.0,linear,homogeneous,250
Horseshoe,3.24452085145586,1.01786913743149,0.0,linear,homogeneous,500
Horseshoe,2.37965533464181,1.01523545620578,0.0,linear,homogeneous,500
Horseshoe,2.77773378649091,1.0410373026287,0.0,linear,homogeneous,500
Horseshoe,3.30099548176617,1.12976430224804,0.0,linear,homogeneous,500
Horseshoe,2.37862117243831,0.989306203982722,0.0,linear,homogeneous,500
Horseshoe,3.00138339059429,1.12571218802265,0.0,linear,homogeneous,500
Horseshoe,3.12063873903266,1.01689941691789,0.0,linear,homogeneous,500
Horseshoe,2.46166105346252,1.0647937401207,0.0,linear,homogeneous,500
Horseshoe,2.49705798171676,1.04042393673765,0.0,linear,homogeneous,500
Horseshoe,2.94549720746672,0.987498144400937,0.0,linear,homogeneous,500
Horseshoe,2.4054623354508,1.03770183811259,0.0,linear,homogeneous,500
Horseshoe,2.90698993217021,1.07008659603152,0.0,linear,homogeneous,500
Horseshoe,2.8640913301008,1.04683077291689,0.0,linear,homogeneous,500
Horseshoe,3.63993844451422,1.05795601771222,0.0,linear,homogeneous,500
Horseshoe,3.15256070597822,1.06787062859027,0.0,linear,homogeneous,500
Horseshoe,2.56421025496877,1.0231044509176,0.0,linear,homogeneous,500
Horseshoe,2.90417082141529,0.964641974733806,0.0,linear,homogeneous,500
Horseshoe,2.56180777513995,1.05896154885336,0.0,linear,homogeneous,500
Horseshoe,2.7973191420236,1.04858205407003,0.0,linear,homogeneous,500
Horseshoe,2.53006277186935,1.04685300176533,0.0,linear,homogeneous,500
Horseshoe,2.50039652906005,0.991256953103722,0.0,linear,homogeneous,500
Horseshoe,3.29941536277445,1.05565934713333,0.0,linear,homogeneous,500
Horseshoe,2.64932401474917,1.01130062268634,0.0,linear,homogeneous,500
Horseshoe,3.67680934192675,1.03903895648273,0.0,linear,homogeneous,500
Horseshoe,2.38540698500191,1.08514310137195,0.0,linear,homogeneous,500
Horseshoe,2.57956800141653,1.01115228355468,0.0,linear,homogeneous,500
Horseshoe,2.02765943198867,0.997879740330557,0.0,linear,homogeneous,500
Horseshoe,3.27096711443744,1.11320005314675,0.0,linear,homogeneous,500
Horseshoe,2.93734573094151,1.08694201511255,0.0,linear,homogeneous,500
Horseshoe,3.31599140128524,1.16342011735008,0.0,linear,homogeneous,500
Horseshoe,2.42029374951514,1.03025766224686,0.0,linear,homogeneous,500
Horseshoe,2.93421342767734,1.03444081969864,0.0,linear,homogeneous,500
Horseshoe,2.69508953703942,1.07909258709367,0.0,linear,homogeneous,500
Horseshoe,2.77135422966252,1.07100135381502,0.0,linear,homogeneous,500
Horseshoe,3.04893224435838,1.02081804562411,0.0,linear,homogeneous,500
Horseshoe,2.85405958610979,1.05976708456357,0.0,linear,homogeneous,500
Horseshoe,2.64810699438656,1.03351146299509,0.0,linear,homogeneous,500
Horseshoe,2.22681637404111,1.13269895683129,0.0,linear,homogeneous,500
Horseshoe,3.13631311618702,1.02687914085769,0.0,linear,homogeneous,500
Horseshoe,2.81446996981772,1.06593929022463,0.0,linear,homogeneous,500
Horseshoe,2.68247425802503,1.04387450232319,0.0,linear,homogeneous,500
Horseshoe,2.82711346561636,1.06343088997171,0.0,linear,homogeneous,500
Horseshoe,2.96970370865434,1.01649224121528,0.0,linear,homogeneous,500
Horseshoe,2.52292699021627,1.05908266266843,0.0,linear,homogeneous,500
Horseshoe,2.79976732372891,1.06116631803345,0.0,linear,homogeneous,500
Horseshoe,2.90040933356368,1.08946809049417,0.0,linear,homogeneous,500
Horseshoe,2.86594381456155,0.970804392668349,0.0,linear,homogeneous,500
Horseshoe,2.8816952950363,1.05245904302632,0.0,linear,homogeneous,500
Horseshoe,3.35494753389308,0.914489161406419,0.0,linear,homogeneous,500
Horseshoe,2.97913148276373,1.06186215415189,0.0,linear,homogeneous,500
Horseshoe,2.6170772534003,1.99550700722118,0.0,nonlinear,heterogeneous,250
Horseshoe,2.21447990885329,1.94422294633728,0.0,nonlinear,heterogeneous,250
Horseshoe,2.64544875203679,1.99516670037048,0.0,nonlinear,heterogeneous,250
Horseshoe,2.55077396299654,2.11718088023319,0.0,nonlinear,heterogeneous,250
